,trajectory,time,status,moving,age_seconds,origin_marker,lon,lat,z,wind_drift_factor,current_drift_factor,terminal_velocity,diameter,density,dead,x_sea_water_velocity,y_sea_water_velocity,sea_surface_height,sea_surface_wave_significant_height,sea_ice_area_fraction,x_wind,y_wind,land_binary_mask,sea_floor_depth_below_sea_level,ocean_vertical_diffusivity,ocean_mixed_layer_thickness,sea_water_temperature,sea_water_salinity,surface_downward_x_stress,surface_downward_y_stress,turbulent_kinetic_energy,turbulent_generic_length_scale,upward_sea_water_velocity,fe,no3,po4,si,distance,kd,chl
1501,20,2025-12-05 14:56:18.211162,0.0,1.0,147600.0,0.0,75.52539,9.843389,-2.2736983,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.18773837,-0.16262594,0.0,0.24039817,0.0,2.2432253,-2.1772056,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.657102176488852,0.07937548,0.5688393
1502,20,2025-12-05 15:56:18.211162,0.0,1.0,151200.0,0.0,75.53155,9.838096,0.0,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.19995141,-0.17013006,0.0,0.23202273,0.0,1.1364402,-2.853125,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.6626557148353147,0.07937548,0.5688393
1503,20,2025-12-05 16:56:18.211162,0.0,1.0,154800.0,0.0,75.53812,9.832558,-0.9175798,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.1600399,-0.14801371,0.0,0.30137014,0.0,0.010604441,-3.500101,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.6685298176201672,0.07937548,0.5688393
1504,20,2025-12-05 17:56:18.211162,0.0,1.0,158400.0,0.0,75.543365,9.827741,-0.8630232,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.13732189,-0.13980247,0.0,0.44467005,0.0,-1.087901,-4.110048,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.6736565686658674,0.07937548,0.5688393
1505,20,2025-12-05 18:56:18.211162,0.0,1.0,162000.0,0.0,75.547874,9.82319,-0.014477155,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.11416087,-0.13205932,0.0,0.3479372,0.0,-2.026085,-3.1684012,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.6785013612949685,0.07937548,0.5688393
1506,20,2025-12-05 19:56:18.211162,0.0,1.0,165600.0,0.0,75.55162,9.818892,-0.9499679,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.073652126,-0.10475067,0.0,0.32449162,0.0,-2.9538968,-2.1131046,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.6830618044198374,0.07937548,0.5688393
1507,20,2025-12-05 20:56:18.211162,0.0,1.0,169200.0,0.0,75.55404,9.815482,0.0,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.04602826,-0.09483494,0.0,0.39992252,0.0,-3.8905067,-1.0587583,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.6866475914930147,0.07937548,0.5688393
1508,20,2025-12-05 21:56:18.211162,0.0,1.0,172800.0,0.0,75.55555,9.812396,-0.08572495,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.02518739,-0.10396941,0.0,0.24928288,0.0,-3.0828886,0.793252,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.6898441513862278,0.07937548,0.5688393
1509,20,2025-12-05 22:56:18.211162,0.0,1.0,176400.0,0.0,75.55637,9.809011,-1.947144,0.02,1.0,0.014061547,0.0014,1020.0,0.0,0.006979042,-0.089050844,0.0,0.29222196,0.0,-2.1737552,2.6746461,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.6932843180516625,0.07937548,0.5688393
1510,20,2025-12-05 23:56:18.211162,0.0,1.0,180000.0,0.0,75.5566,9.806113,-0.6458851,0.02,1.0,0.014061547,0.0014,1020.0,0.0,-0.008293258,-0.11499335,0.0,0.547029,0.0,-1.283265,4.5376406,0.0,100.0,0.02,50.0,10.0,34.0,0.0,0.0,0.0,0.0,0.0,0.00093587174,0.037282486,0.26058942,0.7391565,0.6961915482938832,0.07937548,0.5688393
